Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
190,120,4923,8,5,2001,2002,1153,440,1593,1593,0,1593,1,1,1,0,1,5,1,2,682,0,120,0,0,224,0,0,8,2008,286000
191,70,10570,8,8,1932,1994,297,556,853,1549,1178,2727,0,2,1,3,1,10,2,2,440,0,74,0,0,0,0,0,12,2007,315000
192,60,7472,7,9,1972,2004,626,99,725,725,754,1479,1,1,1,4,1,7,0,2,484,0,32,0,0,0,0,0,6,2007,184000
193,20,9017,7,5,1999,1999,560,871,1431,1431,0,1431,1,2,0,3,1,6,0,2,666,0,35,0,0,0,0,0,9,2009,192000
194,160,2522,7,5,2004,2004,0,970,970,970,739,1709,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,5,2006,130000
195,20,7180,5,7,1972,1972,390,474,864,864,0,864,0,1,0,3,1,5,0,1,352,0,0,0,0,0,0,0,5,2008,127000
196,160,2280,6,6,1976,1976,566,289,855,855,601,1456,0,2,1,3,1,7,1,2,440,87,0,0,0,0,0,0,7,2009,148500
197,20,9416,7,5,2007,2007,1126,600,1726,1726,0,1726,1,2,0,3,1,8,1,3,786,171,138,0,0,266,0,0,9,2007,311872
198,75,25419,8,4,1918,1990,1036,140,1360,1360,1360,3112,1,2,0,4,1,8,1,2,795,0,16,552,0,0,512,0,3,2006,235000
199,75,5520,6,6,1912,1950,0,755,755,929,929,2229,0,1,0,5,1,8,0,0,0,0,198,30,0,0,0,0,7,2009,104000
200,20,9591,8,5,2004,2005,1088,625,1713,1713,0,1713,1,2,0,3,1,7,1,3,856,0,26,0,0,170,0,0,1,2009,274900
201,20,8546,4,5,2003,2004,0,1121,1121,1121,0,1121,0,2,0,2,1,5,0,2,440,132,64,0,0,0,0,0,3,2010,140000
202,20,10125,6,6,1977,1977,641,276,1196,1279,0,1279,0,2,0,3,1,6,2,2,473,238,83,0,0,0,0,0,2,2008,171500
203,50,7000,6,6,1924,1950,617,0,617,865,445,1310,0,2,0,2,1,6,0,1,398,0,0,126,0,0,0,0,5,2006,112000
204,120,4438,6,5,2004,2004,662,186,848,848,0,848,1,1,0,1,1,3,1,2,420,149,0,0,0,0,0,0,1,2008,149000
205,50,3500,5,7,1947,1950,312,408,720,720,564,1284,0,1,1,2,1,5,0,1,240,0,35,0,0,0,0,0,4,2009,110000
206,20,11851,7,5,1990,1990,0,1424,1424,1442,0,1442,0,2,0,3,1,5,0,2,500,0,34,0,508,0,0,0,5,2009,180500
207,20,13673,5,5,1962,1962,0,1140,1140,1696,0,1696,0,1,1,3,1,8,1,1,349,0,30,0,0,0,0,0,3,2007,143900
208,20,12493,4,5,1960,1960,419,375,1100,1100,0,1100,1,1,0,3,1,6,1,1,312,355,0,0,0,0,0,0,4,2008,141000
